frequency,normalized_amplitude
14967447,0.188
14973958,0.202
14980468,0.208
14986979,0.219
14993489,0.216
14999999,0.228
15006510,0.227
15013020,0.231
15019531,0.254
15026041,0.263
15032552,0.266
15039062,0.268
15045572,0.287
15052083,0.284
15058593,0.308
15065104,0.309
15071614,0.317
15078124,0.330
15084635,0.343
15091145,0.357
15097656,0.366
15104166,0.379
15110677,0.375
15117187,0.394
15123697,0.411
15130208,0.418
15136718,0.422
15143229,0.441
15149739,0.443
15156249,0.458
15162760,0.472
15169270,0.474
15175781,0.498
15182291,0.502
15188802,0.519
15195312,0.526
15201822,0.542
15208333,0.542
15214843,0.559
15221354,0.575
15227864,0.577
15234374,0.591
15240885,0.592
15247395,0.602
15253906,0.608
15260416,0.622
15266927,0.609
15273437,0.630
15279947,0.623
15286458,0.624
15292968,0.636
15299479,0.640
15305989,0.633
15312499,0.633
15319010,0.635
15325520,0.626
15332031,0.638
15338541,0.622
15345052,0.619
15351562,0.608
15358072,0.611
15364583,0.593
15371093,0.593
15377604,0.573
15384114,0.569
15390624,0.560
15397135,0.540
15403645,0.538
15410156,0.536
15416666,0.527
15423177,0.504
15429687,0.504
15436197,0.486
15442708,0.493
15449218,0.478
15455729,0.480
15462239,0.479
15468749,0.487
15475260,0.481
15481770,0.509
15488281,0.501
15494791,0.501
15501302,0.516
15507812,0.536
15514322,0.541
15520833,0.549
15527343,0.565
15533854,0.569
15540364,0.589
15546874,0.571
15553385,0.591
15559895,0.594
15566406,0.601
15572916,0.600
15579427,0.606
15585937,0.582
15592447,0.593
15598958,0.581
15605468,0.579
15611979,0.559
15618489,0.551
15624999,0.540
15631510,0.536
15638020,0.513
15644531,0.505
15651041,0.493
15657552,0.492
15664062,0.494
15670572,0.494
15677083,0.496
15683593,0.493
15690104,0.504
15696614,0.521
15703124,0.517
15709635,0.527
15716145,0.545
15722656,0.543
15729166,0.560
15735677,0.562
15742187,0.572
15748697,0.568
15755208,0.572
15761718,0.560
15768229,0.559
15774739,0.536
15781249,0.536
15787760,0.526
15794270,0.526
15800781,0.505
15807291,0.503
15813802,0.482
15820312,0.490
15826822,0.477
15833333,0.484
15839843,0.483
